#Gene_Symbol	BioCycPath_ID	Metabolism_ID
PLCG1	LIPASYN-PWY	phospholipases
PLCG1	LIPASYN-PWY	phospholipases
PLCB2	LIPASYN-PWY	phospholipases
PLCB1	LIPASYN-PWY	phospholipases
PLCD1	LIPASYN-PWY	phospholipases
PLCE1	LIPASYN-PWY	phospholipases
PLCB3	LIPASYN-PWY	phospholipases
PLCD4	LIPASYN-PWY	phospholipases
PLCH2	LIPASYN-PWY	phospholipases
PLCH1	LIPASYN-PWY	phospholipases
PLCD3	LIPASYN-PWY	phospholipases
PLCG2	LIPASYN-PWY	phospholipases
PLCZ1	LIPASYN-PWY	phospholipases
PLD1	LIPASYN-PWY	phospholipases
PLD2	LIPASYN-PWY	phospholipases
PLD3	LIPASYN-PWY	phospholipases
PLD4	LIPASYN-PWY	phospholipases
PLD6	LIPASYN-PWY	phospholipases
PLA2G4A	LIPASYN-PWY	phospholipases
PLA2G4F	LIPASYN-PWY	phospholipases
PLA2G4E	LIPASYN-PWY	phospholipases
PLA2G4D	LIPASYN-PWY	phospholipases
JMJD7-PLA2G4B	LIPASYN-PWY	phospholipases
PLA2G12A	LIPASYN-PWY	phospholipases
PLA2G5	LIPASYN-PWY	phospholipases
PLA2G2F	LIPASYN-PWY	phospholipases
PLA2G2E	LIPASYN-PWY	phospholipases
PLA2G2D	LIPASYN-PWY	phospholipases
PLA2G2C	LIPASYN-PWY	phospholipases
PLA2G2A	LIPASYN-PWY	phospholipases
PLA2G1B	LIPASYN-PWY	phospholipases
PLA2G12B	LIPASYN-PWY	phospholipases
PLA2G6	LIPASYN-PWY	phospholipases
PLA2G10	LIPASYN-PWY	phospholipases
PLB1	LIPASYN-PWY	phospholipases
RARS2	TRNA-CHARGING-PWY	tRNA charging pathway
RARS	TRNA-CHARGING-PWY	tRNA charging pathway
CARS	TRNA-CHARGING-PWY	tRNA charging pathway
CARS2	TRNA-CHARGING-PWY	tRNA charging pathway
QARS	TRNA-CHARGING-PWY	tRNA charging pathway
QRSL1	TRNA-CHARGING-PWY	tRNA charging pathway
EARS2	TRNA-CHARGING-PWY	tRNA charging pathway
IARS2	TRNA-CHARGING-PWY	tRNA charging pathway
IARS	TRNA-CHARGING-PWY	tRNA charging pathway
LARS2	TRNA-CHARGING-PWY	tRNA charging pathway
LARS	TRNA-CHARGING-PWY	tRNA charging pathway
VARS2	TRNA-CHARGING-PWY	tRNA charging pathway
VARS	TRNA-CHARGING-PWY	tRNA charging pathway
AARS	TRNA-CHARGING-PWY	tRNA charging pathway
AARS2	TRNA-CHARGING-PWY	tRNA charging pathway
PTGES3L-AARSD1	TRNA-CHARGING-PWY	tRNA charging pathway
NARS2	TRNA-CHARGING-PWY	tRNA charging pathway
NARS	TRNA-CHARGING-PWY	tRNA charging pathway
DARS2	TRNA-CHARGING-PWY	tRNA charging pathway
DARS	TRNA-CHARGING-PWY	tRNA charging pathway
YARS	TRNA-CHARGING-PWY	tRNA charging pathway
YARS2	TRNA-CHARGING-PWY	tRNA charging pathway
WARS2	TRNA-CHARGING-PWY	tRNA charging pathway
WARS	TRNA-CHARGING-PWY	tRNA charging pathway
TARS2	TRNA-CHARGING-PWY	tRNA charging pathway
TARS	TRNA-CHARGING-PWY	tRNA charging pathway
TARSL2	TRNA-CHARGING-PWY	tRNA charging pathway
SARS	TRNA-CHARGING-PWY	tRNA charging pathway
SARS2	TRNA-CHARGING-PWY	tRNA charging pathway
EPRS	TRNA-CHARGING-PWY	tRNA charging pathway
PARS2	TRNA-CHARGING-PWY	tRNA charging pathway
FARSB	TRNA-CHARGING-PWY	tRNA charging pathway
FARSA	TRNA-CHARGING-PWY	tRNA charging pathway
FARS2	TRNA-CHARGING-PWY	tRNA charging pathway
01/03/02	TRNA-CHARGING-PWY	tRNA charging pathway
MARS	TRNA-CHARGING-PWY	tRNA charging pathway
KARS	TRNA-CHARGING-PWY	tRNA charging pathway
HARS2	TRNA-CHARGING-PWY	tRNA charging pathway
HARS	TRNA-CHARGING-PWY	tRNA charging pathway
GARS	TRNA-CHARGING-PWY	tRNA charging pathway
ACSM5	PWY-5143	fatty acid activation
ACSM4	PWY-5143	fatty acid activation
ACSM3	PWY-5143	fatty acid activation
ACSM1	PWY-5143	fatty acid activation
ACSL3	PWY-5143	fatty acid activation
ACSBG1	PWY-5143	fatty acid activation
ACSL6	PWY-5143	fatty acid activation
